fluido,vazao_uL_min,malha,u_max_simulacao,u_max_teorico,erro_relativo_%,t_s,interac
agua,100,finer,0.34139,0.34934,2.275809,3s,26
isopropilico,1000,finer,3.4139,3.493403,2.275809,3s,26
agua,1,normal,0.003086,0.003493,11.662072,1s,33
isopropilico,10,normal,0.03086,0.034934,11.662072,1s,33
isopropilico,1,finer,0.003414,0.003493,2.275809,3s,29
isopropilico,10,coarse,0.027595,0.034934,21.008259,1s,35
isopropilico,100,finer,0.34139,0.34934,2.275809,3s,28
agua,1000,coarse,2.7595,3.493403,21.008259,0s,28
isopropilico,100,fine,0.33406,0.34934,4.37405,1s,29
agua,1,fine,0.003341,0.003493,4.37405,1s,30
agua,1,finer,0.003393,0.003493,2.868355,3s,29
agua,1000,fine,3.3406,3.493403,4.37405,1s,30
isopropilico,1000,coarse,2.7594,3.493403,21.011122,0s,31
isopropilico,1,coarse,0.00276,0.003493,21.008259,0s,35
agua,10,fine,0.033406,0.034934,4.37405,1s,29
agua,1000,finer,3.4139,3.493403,2.275809,3s,29
isopropilico,100,coarse,0.27594,0.34934,21.011122,0s,34
isopropilico,10,fine,0.033406,0.034934,4.37405,1s,30
agua,1,coarse,0.00276,0.003493,21.008259,0s,35
agua,100,coarse,0.27594,0.34934,21.011122,0s,33
isopropilico,1,normal,0.003086,0.003493,11.662072,1s,33
agua,100,fine,0.33406,0.34934,4.37405,1s,29
isopropilico,100,normal,0.3086,0.34934,11.662072,1s,33
agua,10,normal,0.03086,0.034934,11.662072,0s,33
isopropilico,10,finer,0.034139,0.034934,2.275809,3s,29
agua,1000,normal,3.086,3.493403,11.662072,1s,31
agua,10,coarse,0.027595,0.034934,21.008259,0s,35
isopropilico,1,fine,0.003341,0.003493,4.37405,1s,30
agua,10,finer,0.034139,0.034934,2.275809,2s,28
agua,100,normal,0.3086,0.34934,11.662072,1s,32
isopropilico,1000,normal,3.086,3.493403,11.662072,0s,32
isopropilico,1000,fine,3.3406,3.493403,4.37405,1s,29
