fluido,vazao_uL_min,malha,u_max_simulacao,u_max_teorico,erro_relativo_%
agua,100.000000,finer,0.341390,0.349340,2.275809
isopropilico,1000.000000,finer,3.413900,3.493403,2.275809
agua,1.000000,normal,0.003086,0.003493,11.662072
isopropilico,10.000000,normal,0.030860,0.034934,11.662072
isopropilico,1.000000,finer,0.003414,0.003493,2.275809
isopropilico,10.000000,coarse,0.027595,0.034934,21.008259
isopropilico,100.000000,finer,0.341390,0.349340,2.275809
agua,1000.000000,coarse,2.759500,3.493403,21.008259
isopropilico,100.000000,fine,0.334060,0.349340,4.374050
agua,1.000000,fine,0.003341,0.003493,4.374050
agua,1.000000,finer,0.003393,0.003493,2.868355
agua,1000.000000,fine,3.340600,3.493403,4.374050
isopropilico,1000.000000,coarse,2.759400,3.493403,21.011122
isopropilico,1.000000,coarse,0.002760,0.003493,21.008259
agua,10.000000,fine,0.033406,0.034934,4.374050
agua,1000.000000,finer,3.413900,3.493403,2.275809
isopropilico,100.000000,coarse,0.275940,0.349340,21.011122
isopropilico,10.000000,fine,0.033406,0.034934,4.374050
agua,1.000000,coarse,0.002760,0.003493,21.008259
agua,100.000000,coarse,0.275940,0.349340,21.011122
isopropilico,1.000000,normal,0.003086,0.003493,11.662072
agua,100.000000,fine,0.334060,0.349340,4.374050
isopropilico,100.000000,normal,0.308600,0.349340,11.662072
agua,10.000000,normal,0.030860,0.034934,11.662072
isopropilico,10.000000,finer,0.034139,0.034934,2.275809
agua,1000.000000,normal,3.086000,3.493403,11.662072
agua,10.000000,coarse,0.027595,0.034934,21.008259
isopropilico,1.000000,fine,0.003341,0.003493,4.374050
agua,10.000000,finer,0.034139,0.034934,2.275809
agua,100.000000,normal,0.308600,0.349340,11.662072
isopropilico,1000.000000,normal,3.086000,3.493403,11.662072
isopropilico,1000.000000,fine,3.340600,3.493403,4.374050
